北海道,1,北海道・東北
青森県,2,北海道・東北
岩手県,3,北海道・東北
宮城県,4,北海道・東北
秋田県,5,北海道・東北
山形県,6,北海道・東北
福島県,7,北海道・東北
茨城県,8,関東
栃木県,9,関東
群馬県,10,関東
埼玉県,11,関東
千葉県,12,関東
東京都,13,関東
神奈川県,14,関東
新潟県,15,北陸・甲信越
富山県,16,北陸・甲信越
石川県,17,北陸・甲信越
福井県,18,北陸・甲信越
山梨県,19,北陸・甲信越
長野県,20,北陸・甲信越
岐阜県,21,東海
静岡県,22,東海
愛知県,23,東海
三重県,24,東海
滋賀県,25,近畿
京都府,26,近畿
大阪府,27,近畿
兵庫県,28,近畿
奈良県,29,近畿
和歌山県,30,近畿
鳥取県,31,中国
島根県,32,中国
岡山県,33,中国
広島県,34,中国
山口県,35,中国
徳島県,36,四国
香川県,37,四国
愛媛県,38,四国
高知県,39,四国
福岡県,40,九州・沖縄
佐賀県,41,九州・沖縄
長崎県,42,九州・沖縄
熊本県,43,九州・沖縄
大分県,44,九州・沖縄
宮崎県,45,九州・沖縄
鹿児島県,46,九州・沖縄
沖縄県,47,九州・沖縄
